Background,Objective,Methods,Results,Conclusion,Keywords,Authors,Year,PDF Link,Title
['Ground Coverage'],"['Classification', 'Vegetation Density.']","['Classification', 'Feature Extraction']","['performance', 'architecture', '%', 'comparison', 'machine', 'feature extraction', 'methods', 'feature', 'Classification', 'results', 'extraction', 'learning', 'accuracy', 'method']","['using', 'came', 'architecture', '%', 'performed', 'machine', 'result', 'rate', 'Based', 'produced', 'achieving', 'feature', 'results', 'extraction', 'learning', 'accuracy', 'comparing', 'method']","Classification, CNN Architecture, Feature Extraction, Ground Coverage, Vegetation Density.","Erika Maulidiya, Chastine Fatichah, Nanik Suciati, Yuslena Sari","June 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/51527/29046,Ground Coverage Classification in UAV Image Using a Convolutional Neural Network Feature Map
['Stemming'],"['Lemmatization', 'Stemming']",[],"['year', 'element', 'lemmatization', 'studies', 'corpus', 'stemming', 'potential', 'trends', 'dictionaries', 'morphology', 'word', 'languages', 'availability', 'number', 'regional languages', 'words', 'vocabularies', 'rule', 'information', 'results', 'study']","['lemmatization', 'using', 'based', 'stemming', 'language', 'encountered', 'dictionaries', 'morphology', 'languages', 'strategies', 'challenges', 'number', 'words', 'Based', 'methods', 'rule', 'information', 'developed', 'study', 'testing']","Lemmatization, Morphology, Rule-based, Stemming, Systematic Literature Review.","Zaenal Abidin, Akmal Junaidi, Wamiliana","June 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/50341/29047,Text Stemming and Lemmatization of Regional Languages in Indonesia: A Systematic Literature Review
"['Deep learning', 'Computer vision', 'Plant disease']","['Deep learning', 'Computer vision', 'Plant disease']","['Deep learning', 'Systematic literature review']","['architectures', 'Frameworks', 'studies', 'prediction', 'development', 'transfer', 'detection', 'training', 'disease', 'models', 'abundance', 'methods', 'researchers', 'data', 'plant', 'plant disease', 'learning', 'accuracy', 'efficiency', 'study']","['model', 'vision', 'demonstrates', 'studies', 'impact', 'paper', 'singular', 'nature', 'computer', 'provides', 'recognition', 'disease', 'information', 'overview', 'plant', 'learning', 'adaptability', 'area']","Deep learning, Computer vision, Plant disease, Systematic literature review","Nik Afiqah N. Ahmad Yani, Shukor Sanim Mohd Fauzi, Nurul Ain Mohd Zaki, Mohammad Hafiz Ismail","June 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/52502/29048,A Systematic Literature Review on Leaf Disease Recognition Using Computer Vision and Deep Learning Approach
"['Motorcycle taxi', 'public transportation', 'informal transportation', 'shared mobility']",['informal transportation'],['bibliometric analysis'],"['customer satisfaction', 'travel behavior', 'impact', 'research', 'road safety', 'behaviors', 'development', 'transportation', 'risk', 'sustainable transportation', 'risk factors', 'c', 'health services', 'utilization', 'factors', 'services', 'safety', 'health', 'themes', 'behavior', 'topics', 'clusters', 'drivers', 'satisfaction', 'health impact', 'b', 'road', 'customer', 'security', 'publication', 'mobility', 'travel']","['served', 'trends', 'knowledge', 'topics', 'options', 'analysis', 'research', 'guide']","Motorcycle taxi, public transportation, informal transportation, shared mobility, bibliometric analysis","Dyah Herawatie, Nurhadi Siswanto, Erwin Widodo","June 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/52724/29049,Motorcycle Taxi in Shared Mobility and Informal Transportation: A Bibliometric Analysis
"['Knowledge management system', 'higher education', 'solution']","['Knowledge management system', 'problem', 'solution']",['systematic literature review'],"['knowledge', 'solutions', 'university', 'research', 'collection', 'development', 'knowledge management', 'problems', 'requirements', 'knowledge management systems', 'business process', 'trends', 'technology', 'management systems', 'methodologies', 'people', 'systems', 'business', 'frameworks', 'form', 'data collection', 'research methodologies', 'methods', 'guidelines', 'aspects', 'country', 'data', 'results', 'management', 'process', 'framework', 'study', 'education']","['authors', 'add', 'system', 'knowledge', 'solutions', 'university', 'research', 'running', 'potential', 'processes', 'development', 'problems', 'requirements', 'countries', 'improve', 'trends', 'motivations', 'methodologies', 'universities', 'business', 'insights', 'understanding', 'address', 'identify', 'results', 'study', 'education']","Knowledge management system, higher education, systematic literature review, problem, solution","Nandhita Zefania Maharani, Shabrina Salsabila Kurniawan, Dana Indra Sensuse, Imairi Eitiveni, Deden Sumirat Hidayat, Erisva Hakiki Purwaningsih","June 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/54976/29052,Motivations and Potential Solutions in Developing a Knowledge Management System for Organization at Higher Education: A Systematic Literature Review
['SEIR model'],"['Genetic algorithm', 'Particle swarm optimization', 'SEIR model']","['SEIR model', 'COVID-19']","['death', '%', 'rate', 'infection rate', 'recovery rate', 'death rate', 'error', 'disease', 'transition', 'parameters', 'infection', 'recovery', 'value', 'method']","['had', 'results', 'trends', 'parameter', 'adapt', 'Based', 'COVID-19', 'epidemic', 'provided', 'estimation']","Genetic algorithm, Particle swarm optimization, SEIR model, COVID-19, Parameter estimation.","Aminatus Sa'adah, Ayomi Sasmito, Asysta Amalia Pasaribu","June 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/55061/29053,Comparison of Genetic Algorithm (GA) and Particle Swarm Optimization (PSO) for Estimating the Susceptible-Exposed-Infected-Recovered (SEIR) Model Parameter Values
['Hepatitis'],"['Hepatitis', 'Backward Elimination']","['Backward Elimination', 'XGBoost']","['model', 'hyperparameter', '%', 'optimization', 'training', 'results', 'Random Search', 'seconds', 'accuracy', 'time', 'Bayesian search', 'hyperparameter optimization', 'performance', 'search']","['model', 'precision', 'score', 'overfitting', 'missing', 'search', '%', 'treatment', 'achieved', 'training', 'features', 'use', 'F1', 'produced', 'feature', 'hyperparameter', 'values', 'accuracy', 'process', 'recall', 'led', 'value']","Hepatitis, Backward Elimination, XGBoost, Bayesian Search, Random Search","Jasman Pardede, Desita Nurrohmah","June 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/48274/29054,Hepatitis Identification using Backward Elimination and Extreme Gradient Boosting Methods
"['Early Identification', 'Genetic Algorithm', 'Learning Vector Quantization']","['Genetic Algorithm', 'Learning Vector Quantization']","['Early Identification', 'Genetic Algorithm', 'Learning Vector Quantization']",N/A,"['model', 'weighting', 'vector', 'develop', 'perform', 'functions', 'learning', 'diseases', 'identifying', 'models', 'research', 'combining', 'identification', 'parameters', 'quantization', 'Experiments']","Early Identification, Ear-Nose-Throat Diseases, Genetic Algorithm, Learning Vector Quantization","Cynthia Hayat, Iwan Aang Soenandi","February 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/46871/28046,"Hybrid Architecture Model of Genetic Algorithm and Learning Vector Quantization Neural Network for Early Identification of Ear, Nose, and Throat Diseases"
[],"['Asset Value', 'Turnover']","['Asset Value', 'Clustering', 'DBSCAN', 'K-Means', 'Turnover']","['points', 'outcomes', 'feature space', 'characteristics', 'space', 'analysis', 'methodologies', 'parameters', 'region', 'number', 'minimum', 'clusters', 'understanding', 'feature', 'arrangement', 'closeness', 'epsilon', 'study', 'comparative analysis']","['turnover', 'decision', 'comprehension', 'making', 'attributes', 'based', 'asset', 'advancement', 'growth', 'sector', 'depict', 'promote', 'methodologies', 'factors', 'region', 'investigate', 'business', 'perspectives', 'variables', 'clusters', 'researchers', 'aid', 'sustainability', 'grasp', 'enterprises', 'results', 'planning', 'clustering', 'landscape', 'study', 'area', 'value']","Asset Value, Clustering, DBSCAN, K-Means, Turnover","Ni Putu Sutramiani, I Made Teguh Arthana, Pramayota Fane'a Lampung, Shana Aurelia, Muhammad Fauzi, I Wayan Agus Surya Darma","February 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/47770/28047,The Performance Comparison of DBSCAN and K-Means Clustering for MSMEs Grouping based on Asset Value and Turnover
['Mobile Social Commerce'],"['Mobile Social Commerce', 'Privacy Concern', 'Social Support', 'UTAUT']",['Mobile Social Commerce'],"['hypotheses', 'results']","['habit', 'commerce', 'concentrate', 'exploring', 'application', 'users', 'use', 'continued', 'studies', 'motivation', 'intention', 'effort', 'expectancy', 'factors', 'conclusion']","Mobile Social Commerce, Privacy Concern, Social Construct, Social Support, UTAUT","Muhammad Malik Hakim, Putrisya Novatiara Sonia, Guruh Aryotejo, Satriyo Adhy, Yeva Fadhilah Ashari, Salman Alfarisi","February 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/48220/28048,Factors Influencing the Use of Mobile Social Commerce Application with UTAUT2 Extended Model
[],[],"['GridSearchCV', 'SVM', 'PCA', 'SMOTE']",N/A,"['model', 'number', 'dataset', 'consider', 'expand', 'enhanced', 'investigations', 'accuracy', 'prediction', 'folds', 'explore', 'generalizability', 'study', 'enhance', 'methods', 'method']","GridSearchCV, Parkinson Disaese, SVM, PCA, SMOTE, Voice/Speech","Jumanto Jumanto, Rofik Rofik, Endang Sugiharti, Alamsyah Alamsyah, Riza Arifudin, Budi Prasetiyo, Much Aziz Muslim","February 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/48202/28049,Optimizing Support Vector Machine Performance for Parkinson's Disease Diagnosis Using GridSearchCV and PCA-Based Feature Extraction
['Data Quality Management'],[],"['Loshin', 'DMBOK']","['year', 'solutions', 'score', 'points', 'one', 'rest', 'level', 'data analysis', 'analysis', 'components', 'strategies', 'period', 'data', 'maturity', 'study']","['Recommendations', 'year', 'quality', 'import', 'using', 'revealing', 'flow', 'measurements', 'approach', 'level', 'sector', 'governance', 'highlights', 'areas', 'measure', 'activities', 'indicators', 'include', 'maintaining', 'data', 'span', 'planning', 'implementation', 'improvement', 'importance', 'study', 'success', 'suggests']","Data Quality Management, Data Quality Maturity Model, Data Quality Strategy, Loshin, DMBOK","Tito Febrian Nugraha, Wahyu Setiawan Wibowo, Venera Genia, Ahmad Fadhil, Yova Ruldeviyani","February 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/48160/28050,A Practical Approach to Enhance Data Quality Management in Government: Case Study of Indonesian Customs and Excise Office
[],"['Image fusion', 'brain tumor', 'medical images']",[],"['quality', '%', 'results', 'metrics', 'accuracy', 'score', 'recall', 'outcomes', 'network', 'techniques', 'method']","['quality', 'exercised', 'used', 'found', 'tasks', 'analysis', 'stretched', 'images', 'techniques', 'image', 'proposed', 'produced', 'wavelet', 'networks', 'modalities', 'transform', 'assist', 'professionals', 'method']","CT and MRI, Image fusion, brain tumor, wavelet transform methods, medical images, machine learning, CNN","Vijayan Ramaraj, Mareeswari Venkatachalaappaswamy, Manoj Kumar Sankar","February 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/46776/28051,Medical Image Fusion for Brain Tumor Diagnosis Using Effective Discrete Wavelet Transform Methods
"['acceptance', 'telemedicine']","['acceptance', 'telemedicine', 'TAM']",['SEM'],"['influence', 'social influence', 'ease', 'usefulness', 'telemedicine', 'use', 'variables', 'influences', 'conditions', 'intention', 'Self', 'factors', 'services', 'efficacy']","['addition', 'results', 'telemedicine', 'adoption', 'acceptance', 'study', 'significance', 'factors', 'services', 'extended']","acceptance, telemedicine, TAM, SEM, intention to use","Purno Tri Aji, Luthfi Ramadani","February 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/48199/28052,Patients' Acceptance of Telemedicine Technology: The Influence of User Behavior and Socio-Cultural Dimensions
['Insect Vector'],"['Knowledge Graph', 'Network Analysis', 'Insect Vector']","['Degree Centrality', 'Insect Vector']","['stage', 'taxonomic', 'network analysis', 'virus', 'test', 'precision', 'knowledge', 'prediction', 'photos', 'publications', 'network', 'search', 'vector', 'insect vector', 'degree centrality', 'enemies', 'analysis', 'names', 'engine', 'enemy', 'graph', 'extension', 'natural enemies', 'species', 'common names', 'insights', 'failure', 'degree', 'search engine', 'natural enemy', 'descriptions', 'centrality', 'insect', 'interaction', 'bees']","['identified', 'data', 'vector', 'insect', 'virus', 'entity', 'is', 'precision', 'using', 'note', 'insects', 'vectors', 'tests', 'order', 'search', 'embedding', 'engine']","Knowledge Graph, Network Analysis, Degree Centrality, Entity Embedding, Insect Vector","Moh. Zulkifli Katili, Yeni Herdiyeni, Medria Kusuma Dewi Hardhienata","February 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/50015/28053,Leveraging Biotic Interaction Knowledge Graph and Network Analysis to Uncover Insect Vectors of Plant Virus
"['Agile Software Development', 'Requirements Elicitation', 'Stakeholder']",['Stakeholder'],"['Stakeholder', 'Domain Knowledge']","['quality', 'stakeholder', 'user', 'case', 'studies', 'knowledge', 'aspect', 'case studies', 'task', 'domain knowledge', 'user stories', 'capability', 'analysis', 'crafts', 'number', 'domain', 'elements', 'goal', 'Stakeholders', 'aspects', 'categories', 'framework', 'stories', 'variations']","['quality', 'knowledge', 'user', 'stakeholders', 'lies', 'story', 'based', 'shaping', 'disparities', 'contribution', 'characteristics', 'requirements', 'types', 'tasks', 'innovation', 'endorse', 'comparison', 'focusing', 'highlights', 'domain', 'elements', 'goals', 'produced', 'gathering', 'process', 'capabilities', 'framework', 'study', 'importance', 'stories']","User story, Agile Software Development, Requirements Elicitation, Stakeholder, Domain Knowledge, Process Innovation","Ersalina Trisnawati, Indra Kharisma Raharjana, Taufik Taufik, Ahmad Hoirul Basori, Nouf Atiahallah Alghanmi, Andi Besse Firdausiah Mansur","February 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/54084/28054,Analyzing Variances in User Story Characteristics: A Comparative Study of Stakeholders with Diverse Domain and Technical Knowledge in Software Requirements Elicitation
"['Brand Image', 'Trust', 'FinTech', 'Online Transportation']","['Brand Image', 'Trust', 'FinTech', 'Online Transportation']","['Brand Image', 'Trust', 'FinTech', 'Online Transportation']","['user', 'ease', 'transportation', 'factors', 'services', 'trust', 'image', 'intentions', 'brand', 'usefulness', 'use', 'willingness', 'results', 'brand image']","['perceived', 'platforms', 'aspect', 'building', 'explaining', 'ease', 'establishing', 'trusted', 'factors', 'trust', 'services', 'image', 'brand', 'companies', 'develop', 'use', 'benefits', 'precursors', 'insights', 'understanding', 'input', 'product', 'study', 'importance', 'value']","Brand Image, Trust, FinTech, Online Transportation","Winanti Winanti, Erick Fernando","February 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/48064/28055,The Role of Brand Image and Trust in the Adoption of FinTech Digital Payment for Online Transportation
[],['Corn Farming'],"['Corn Farming', 'System Dynamics']","['Simulation', 'system', 'farmer field school', 'drip', 'program', 'irrigation', 'irrigation system', 'productivity', 'field', 'farmer', 'corn', 'school', 'field school', 'results']","['model', 'agriculture', 'increase', 'system', 'drip', 'program', 'impact', 'research', 'irrigation', 'farming', 'profits', 'consider', 'manage', 'farmers', 'drought', 'production', 'productivity', 'use', 'water', 'save', 'field', 'farmer', 'corn', 'school', 'reducing', 'byproducts', 'developed', 'scenario', 'study', 'suggests']","Corn Farming, Decision Support System, Modeling, Simulation, System Dynamics","Erma Suryani, Haris Rafi, Amalia Utamima","February 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/48997/28056,Model-based Decision Support System Using a System Dynamics Approach to Increase Corn Productivity
['Integrated Healthcare Center Information Systems'],['HOT-Fit'],[],"['quality', 'Problems', 'access', 'system', 'user', 'requirements', 'technology', 'accordance', 'information quality', 'factor', 'factors', 'obstacle', 'use', 'failure', 'Factors', 'satisfaction', 'service', 'user satisfaction', 'information', 'login', 'implementation', 'internet', 'information system', 'success']","['qualities', 'information', 'requirements', 'according', 'system', 'enhanced', 'conditions', 'strategy', 'circumstances', 'satisfy', 'factors', 'approach']","Community Health Workers, Evaluation, HOT-Fit, Integrated Healthcare Center Information Systems, Success Factors","Cicin Hardiyanti, Sri Kusumadewi, Rahadian Kurniawan","February 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/49390/28057,Evaluation of Success and Failure Factors for Maternal and Child Health in Integrated Healthcare Center Information Systems (IHCIS) Using the HOT-Fit Method
"['Large dataset', 'Sentiment analysis']",['Sentiment analysis'],"['Rating prediction', 'Sentiment analysis']",N/A,"['Results', 'dataset', 'results', 'Analysis', 'learning', 'methods', 'indicate', 'setting', 'based', 'revealed', 'performed', 'machine', 'performance', 'exhibit', 'method']","Indonesian review dataset, Large dataset, Rating prediction, Sentiment analysis","Ade Romadhony, Said Al Faraby, Rita Rismala, Untari Novia Wisesty, Anditya Arifianto","February 28, 2024",https://e-journal.unair.ac.id/JISEBI/article/view/48215/28058,Sentiment Analysis on a Large Indonesian Product Review Dataset
[],[],[],"['model', '%', 'Neural Networks', 'results', 'cardiovascular disease', 'accuracy', 'disease', 'study', 'methods', 'approach']","['model', 'demonstrates', 'prediction', 'research', 'potential', 'disorders', 'algorithms', 'improve', 'treatment', 'illness', 'scalability', 'machine', 'techniques', 'systems', 'use', 'tools', 'disease', 'needed', 'conjunction', 'diagnosis', 'given', 'data', 'complexity', 'heart', 'learning', 'accuracy', 'study', 'associated']","Cardiovascular data, Clinical data., Decision tree, GWLM-NARX, Linear model functions","Sheikh Amir Fayaz Fayaz, Majid Zaman, Sameer Kaul, Waseem Jeelani Bakshi","November 1, 2023",https://e-journal.unair.ac.id/JISEBI/article/view/45199/26578,Optimizing Cardiovascular Disease Prediction: A Synergistic Approach of Grey Wolf Levenberg Model and Neural Networks
['Security attacks'],[],[],"['algorithms', 'Random Forest', 'Voting', 'attack', 'predictions', 'accuracy', 'time', 'attacks', 'study', 'experimental study', 'classifiers', 'performance', 'classification', 'stacking']","['voting', 'detection', 'level', 'using', 'accuracy', 'time', 'terms', 'required', 'ensemble', 'achieved', 'methods', 'attack', 'stacking']","Machine learning methods, Majority voting ensemble, SDN-based VANETs, Security attacks, Stacking ensemble classifiers, VANETs,","Kunal Vermani, Amandeep Noliya, Sunil Kumar, Kamlesh Dutta","November 1, 2023",https://e-journal.unair.ac.id/JISEBI/article/view/45306/26580,Ensemble Learning Based Malicious Node Detection in SDN-Based VANETs
['Cryptocurrency'],['Sentiment regression model'],"['Deep learning model', 'Sentiment regression model']","['model', 'attention', 'tweets', 'prediction', 'sentiment', 'RMSE', 'performance', 'news', 'number', 'addition', 'errors', 'Malay', 'values', 'R2', 'results', 'improvements', 'heads']","['model', 'tweets', 'sentiment', 'news', 'related', 'cryptocurrency', 'works', 'predicting', 'issues', 'proposed', 'enhance', 'extracted', 'introduced', 'learning', 'insight', 'study']","Cryptocurrency, Deep learning model, Malay text, Sentiment analysis, Sentiment regression model","Nur Azmina Mohamad Zamani, Norhaslinda Kamaruddin","November 1, 2023",https://e-journal.unair.ac.id/JISEBI/article/view/45778/26594,Crypto-sentiment Detection in Malay Text Using Language Models with an Attention Mechanism
"['Cloud computing', 'Healthcare services']","['Cloud computing', 'Green features']",[],"['energy efficiency', 'footprint', 'repositories', 'access', 'solutions', 'health data', 'research', 'carbon', 'privacy concerns', 'performance', 'consolidation', 'carbon footprint', 'self', 'articles', 'parameters', 'energy', 'greenness', 'gaps', 'performance evaluation', 'health', 'standardization', 'data access', 'data repository', 'concerns', 'service', 'summary', 'data', 'evaluation', 'efficiency', 'security', 'study', 'control', 'access control', 'privacy', 'collaboration']","['threats', 'solutions', 'investigations', 'studies', 'healthcare', 'research', 'literature', 'growth', 'overlooked', 'paper', 'existing', 'articles', 'analysis', 'reveal', 'improving', 'services', 'reviewed', 'systems', 'gaps', 'develop', 'features', 'focused', 'Based', 'cloud', 'concerns', 'researchers', 'violations', 'percent', 'consolidated', 'security', 'computing', 'privacy']","Cloud computing, Consolidation, Green computing, Green features, Healthcare services, Systematic literature review.","Aschalew Arega, Durga Prasad Sharma","November 1, 2023",https://e-journal.unair.ac.id/JISEBI/article/view/45945/26581,Towards Smart and Green Features of Cloud Computing in Healthcare Services: A Systematic Literature Review
